Food,Calcium [mg],Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Total Fat [g],Iron [mg],Sodium [mg],Phosphorous  [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Vit A [RE],Vib B6 [RE],Vit C [mg],Food Type,
Apple juice,17,116,0.1,29,0.5,0.3,0.9,7,17,0.1,0.25,0.05,0,0.07,2,FRUITS,
Apple pie,3,403,3,60,3.2,18,1.8,474,50,0.3,1.59,0.17,29,0.09,0,BAKED GOODS,
Apples raw with peel 2 3/4 diam,10,80,0.3,21,4.3,0.5,0.3,1,10,0,0.11,0.02,7,0.07,8,FRUITS,
Apricot nectar canned,18,141,0.9,36.1,1.5,0.2,1,8,23,0.2,0.65,0.02,330,0.16,2,FRUITS,
Asparagus raw cuts and tips,22,22,2.3,4,1.6,0.3,0.6,4,55,0.4,0.95,0.09,75,0.13,25,VEGETABLES AND LEGUMES,
Avocado Calif 1/2 lb with refuse,19,305,4,12,4.8,30,2,21,73,0.7,3.32,0.19,106,0.48,14,FRUITS,
Bagel plain,29,200,7.5,38.2,0.7,1.8,1.8,245,46,0.3,2.4,0.26,0,0.03,0,BAKED GOODS,
Bamboo shoots canned and sliced,10,25,2.3,4.2,3.3,0.5,0.4,9,33,0.3,0.18,0.03,1,1,2,VEGETABLES AND LEGUMES,
Banana raw without peel,7,105,1.2,26.7,3.3,0.5,0.3,1,22,0.2,0.62,0.05,9,0.66,10,FRUITS,
Beef - Liver,9,185,23,7,0,7,5.3,90,392,4.3,12.3,0.18,9120,0.31,23,MEAT,
Beef - Steak lean and fat,9,240,23,0,0,15,2.6,53,186,4.9,3.3,0.1,0,0.29,0,MEAT,
Beef dried chipped,14,145,24,0,0,4,2.3,3053,287,4.1,2.7,0.05,0,0.14,0,MEAT,
Beef gravy canned,14,124,8.7,11.2,0.4,5.5,1.6,117,70,2.3,1.54,0.07,0,0.02,0,SOUPS SAUCES AND GRAVIES,
Beer Light (12 fl oz),18,100,0.7,4.6,0.3,0,0.1,10,43,0.1,0.01,0.01,0,0.12,0,BEVERAGES,
Beer Regular (12 fl oz),18,146,0.9,13.2,0.7,0,0.1,19,44,0.1,1.61,0.02,0,0.18,0,BEVERAGES,
Beets cooked sliced or diced,9,26,0.9,5.7,2,0.1,0.5,42,26,0.2,0.23,0.03,1,0.03,5,VEGETABLES AND LEGUMES,
Blackberries raw,46,74,1,18.4,9.7,0.6,0.8,0,30,0.4,0.58,0.04,24,0.08,30,FRUITS,
Blackeyed peas frozen drained,40,224,14.4,40.4,7.3,1.1,3.6,9,208,2.4,1.24,0.42,13,0.16,4,VEGETABLES AND LEGUMES,
Blueberries raw,9,82,1,20.5,4.9,0.6,0.2,9,15,0.2,0.7,0.07,15,0.05,20,FRUITS,
Bouillon,10,15,1,1,0,1,0.1,627,23,0.1,0.4,0.02,0,0.01,0,SOUPS SAUCES AND GRAVIES,
Bread crumbs dry grated,122,390,13,73,4,5,4.1,736,141,0.5,4.8,0.35,0,0.02,0,BAKED GOODS,
Broccoli - Cooked raw spears,205,53,5.3,10,7.4,0.5,2.2,20,86,0.3,1.36,0.15,254,0.36,113,VEGETABLES AND LEGUMES,
Brussel sprouts cooked raw,56,60,6,13.5,5.6,0.8,1.9,17,87,0.5,0.95,0.17,112,0.31,97,VEGETABLES AND LEGUMES,
Burrito beef and bean,165,390,21,40,5,17.5,2.7,516,274,3.3,4.36,0.26,58,0.73,5,MIXED DISHES AND FAST FOODS,
Butter - Stick,27,813,1,0.1,0,92,0.2,933,26,0.1,0.05,0.01,852,0.01,0,FATS AND OILS,
Buttermilk,285,99,8.1,11.7,0,2.2,0.1,257,219,1,0.14,0.08,20,0.08,2,DAIRY,
Canadian style Bacon,5,86,11.3,0.6,0,3.9,0.4,719,138,0.8,3.22,0.38,0,0.21,10,MEAT,
Cantaloupe,29,94,2.4,22.3,2.7,0.7,0.6,24,45,0.4,1.53,0.1,861,0.31,113,FRUITS,
Carbonated Cola (12 fl oz),9,0,0,0,0,0,0.1,14,46,0,0,0,0,0,0,BEVERAGES,
Carbonated Diet Cola (12 fl oz),12,2,0.2,0.3,0,0,0.1,21,30,0.3,0,0.02,0,0,0,BEVERAGES,
Carrot cake cream cheese,44,385,4.2,48,0.7,21,1.3,279,62,0.5,0.9,0.11,15,0.86,1,BAKED GOODS,
Carrot juice,44,73,1.7,17.1,2.5,0.3,0.6,54,77,0.3,0.71,0.17,3167,0.4,11,VEGETABLES AND LEGUMES,
Carrots whole raw,19,31,0.7,7.3,2,0.1,0.4,25,32,0.1,0.67,0.07,2025,0.11,7,VEGETABLES AND LEGUMES,
Cauliflower - Cooked raw,17,15,1.2,2.9,1.7,0.1,0.3,4,22,0.1,0.34,0.04,0,0.12,34,VEGETABLES AND LEGUMES,
Celery pascal large stalk,14,6,0.3,1.4,0.8,0.1,0.2,0.35,10,0.1,0.12,0.01,5,0.01,3,VEGETABLES AND LEGUMES,
Cheese - Blue,150,100,6.1,0.7,0,8.1,0.1,396,110,0.8,0.29,0.01,65,0.05,0,DAIRY,
Cheese - Cheddar cut pieces,204,114,7.1,0.4,0,9.4,0.2,176,146,0.9,0.02,0.01,86,0.02,0,DAIRY,
Cheese - Cream,23,99,2.1,0.8,0,9.9,0.3,84,30,0.3,0.03,0.01,124,0.01,0,DAIRY,
Cheese - Monterey Jack,212,106,6.9,0.2,0,8.6,0.2,152,126,0.8,0.02,0.01,81,0.02,0,DAIRY,
Cheese - Swiss,272,107,8,1,0,7.8,0,74,171,1.1,0.03,0.01,72,0.02,0,DAIRY,
Cheese crackers,11,50,1,6,0,3,0.3,112,17,0.1,0.4,0.05,5,0.01,0,BAKED GOODS,
Cheese Gouda,198,101,7.1,0.6,0,7.7,0.1,232,155,1.1,0.02,0.01,49,0.02,0,DAIRY,
Cheese Mozzarella whole milk,147,80,5.5,0.6,0,5.8,0,106,105,0.7,0.02,0.01,68,0.02,0,DAIRY,
Cherries sweet raw without pits,10,49,0.8,11.3,1.3,0.7,0.3,0,13,0,0.3,0.03,15,0.02,5,FRUITS,
Chicken - Roasted whole,21,266,40.5,0,0,10.4,1.7,120,273,2.9,12.8,0.1,22,0.65,0,POULTRY,
Chicken breast fried w/batter,28,364,34.8,12.6,0,18.5,1.8,385,258,1.3,14.7,0.16,28,0.6,0,POULTRY,
Chili powder,7,8,0.3,1.4,0.6,0.4,0.4,26,8,0.1,0.2,0.01,91,,2,MISCELLANEOUS,
Chocolate Chip cookies commercial,16,180,2.3,28,0.2,8.8,0.8,140,41,0.3,0.9,0.1,15,0.02,0,BAKED GOODS,
Clams - raw,59,65,11,0.2,0,1,2.6,102,138,1.4,1.1,0.09,26,0.07,9,FISH AND SHELLFISH,
Coffee Brewed,4,2,0.1,1.1,0,0,1,5,2,0,0.53,0,0,0,0,BEVERAGES,
Coffee Instant,8,2,0.3,0.9,0,0,0.1,8,8,0.1,0.69,0,0,0,0,BEVERAGES,
Cole slaw,54,84,1.5,14.9,2.4,3.1,0.7,28,38,0.2,0.33,0.08,98,0.17,39,MIXED DISHES AND FAST FOODS,
Corn Chips,35,155,2,16,0.3,9,0.5,233,52,0.4,0.4,0.04,11,0.04,1,BAKED GOODS,
Corn cooked raw on cob,2,83,2.6,19.4,3.6,1,0.5,13,79,0.4,1.24,0.17,17,0.18,5,VEGETABLES AND LEGUMES,
Corn dog,34,330,10,27.3,0.1,20,1.9,1252,303,1.4,3.27,0.28,0,0.11,3,MIXED DISHES AND FAST FOODS,
Cottage Creamed small curd,126,215,26.2,5.6,0,8.9,0.3,850,277,0.8,0.27,0.04,101,0.14,0,DAIRY,
Cream sour cultured,268,493,7.3,9.8,0,48.2,0.1,123,195,0.7,0.15,0.08,448,0.04,2,DAIRY,
Croissant 4 1/2 x 4 x 1 3/4 in,20,235,5,27,0.5,12,2.1,452,64,0.3,1.3,0.17,13,0.03,0,BAKED GOODS,
Cucumber with peel,4,4,0.2,0.8,0.4,0.1,0.1,0.6,5,0.1,0.09,0.01,1,0.01,1,VEGETABLES AND LEGUMES,
Custard baked,297,305,14,29,0,15,1.1,209,310,1.5,0.3,0.11,146,0.13,1,DAIRY,
Dandelion greens (raw),147,25,1.5,5.1,0.9,0.4,1.9,42,36,0.6,0.39,0.1,770,0.04,19,VEGETABLES & LEGUMES,
Dates whole without pits,27,228,1.6,61,7.2,0.4,1,2,33,0.2,1.83,0.07,4,0.16,0,FRUITS,
Duck meat only roasted,27,445,51.9,0,0,24.8,6,143,449,5.8,11.3,0.57,51,0.55,0,POULTRY,
Egg Nog commercial,330,342,9.7,34.4,0,19,0.5,138,278,1.2,0.27,0.09,203,0.13,4,DAIRY,
Egg noodles cooked,16,200,6.6,37.3,0.2,2,2.6,3,94,0.2,1.9,0.22,34,0.01,0,GRAIN PRODUCTS,
Eggplant cooked,10,45,1.3,10.6,6,0.4,0.6,5,35,0.2,0.96,0.12,10,0.14,2,VEGETABLES AND LEGUMES,
Enchilada,322,235,20,24,2,16,3.3,1332,198,1.2,0,0.18,352,0.25,0,MIXED DISHES AND FAST FOODS,
English muffin plain,96,140,4.5,26.2,1.5,1.1,1.7,378,67,0.4,2.14,0.26,0,0.02,0,BAKED GOODS,
English walnuts chopped,113,770,17.2,22,8.4,74.2,2.9,12,380,3.3,1.25,0.46,15,0.67,4,NUTS SEEDS AND PRODUCTS,
Fishsticks,22,140,12,8,0,6,0.6,106,116,0.5,1.2,0.06,10,0.12,0,FISH AND SHELLFISH,
Frankfurter beef and pork,5,145,5.1,1.1,0,13.1,0.5,504,39,0.8,1.18,0.09,0,0.06,12,SAUSAGES AND LUNCHMEATS,
Frankfurter turkey,53,102,6.4,0.7,0,8.3,0.8,550,71,1,1.77,0.11,17,0.09,0,SAUSAGES AND LUNCHMEATS,
French fries fried in veg oil,10,158,2,19.8,1.6,8.3,0.4,108,47,0.2,1.63,0.09,0,0.12,5,VEGETABLES AND LEGUMES,
French fries oven heated,4,111,1.7,17,1.6,4.4,0.7,15,43,0.2,1.15,0.06,0,0.12,6,VEGETABLES AND LEGUMES,
Gin Rum Vodka Whiskey 80 proof,0,97,0,0.1,0,0,0,0.4,2,0,0.01,0.01,0,0,0,BEVERAGES,
Gingerbread,86,262,3,36,0.5,6.5,1.8,289,85,0.9,1.23,0.14,0,0.01,0,BAKED GOODS,
Graham crackers,6,60,1,10.8,1.4,1.5,0.4,86,20,0.1,0.6,0.02,0,0.01,0,BAKED GOODS,
Grape Drink Canned,18,112,0,34.7,0.3,0,0.8,34,14,0.1,0.67,0.07,9,0.1,115,BEVERAGES,
Grape Nuts cereal,22,202,6.6,26.4,3.3,0.2,2.5,394,142,1.2,10,0.8,753,1,0,GRAIN PRODUCTS,
Ground beef lean,9,230,21,0,0,16,1.8,65,134,3.7,4.4,0.04,0,0.39,0,MEAT,
Ground beef regular,9,245,20,0,0,17.8,2.1,70,144,3.9,4.9,0.03,0,0.39,0,MEAT,
Ham luncheon meat canned,1,70,2.6,0.4,0,6.4,0.1,271,17,0.3,0.66,0.08,0,0.04,0,MEAT,
Honeydew,8,45,0.6,11.8,1.4,0.1,0.1,13,13,0.1,0.77,0.1,5,0.08,32,FRUITS,
Ice Cream Vanilla ,351,269,4.8,31.8,0,14.4,0.1,116,134,1.4,0.14,0.05,133,0.06,1,DAIRY,
Ice Milk Vanilla ,176,183,5.1,29,0,5.6,0.2,105,129,0.6,0.12,0.08,53,0.09,1,DAIRY,
Kefir,350,160,9.3,8.8,0,4.5,0.5,50,319,0.9,0.3,0.45,155,0.09,6,DAIRY,
Lamb - Chops lean and fat,16,220,20,0,0,15,1.5,46,132,2.9,4.4,0.04,0,0.11,0,MEAT,
Lamb leg roasted lean and fat,8,205,22,0,0,13,1.7,57,162,3.8,5.5,0.09,0,0.17,0,MEAT,
Lard,0,453,0,0,0,51,0,0,1,0,0,0,0,0,0,FATS AND OILS,
Lemonade concentrate,15,397,0.6,103,0.9,0.4,1.6,8,19,0.2,0.16,0.06,21,0.06,39,BEVERAGES,
Lettuce Butterhead/Boston,52,21,2.1,3.8,2.7,0.4,0.5,8,38,0.4,0.49,0.1,158,0.11,13,VEGETABLES AND LEGUMES,
Lima Beans thick seeded,19,85,5.2,16,4.6,0.3,1.2,45,54,0.4,0.91,0.06,16,0.1,11,VEGETABLES AND LEGUMES,
Lucky Charms cereal,36,125,2.9,26.1,0.7,1.2,5.1,227,88,0.6,5.6,0.4,424,0.6,17,GRAIN PRODUCTS,
Macaroni cooked firm stage hot,14,190,6.5,39.1,1,0.7,2.1,1,85,0.6,1.82,0.23,0,0.1,0,GRAIN PRODUCTS,
Mango raw edible part,21,135,1.1,35.2,2.9,0.6,0.3,4,22,0.1,1.21,0.12,806,0.28,57,FRUITS,
Margarine - Regular hard,34,812,1,1,0,91,0.1,1066,26,0.2,0.03,0.01,1122,0.01,0,FATS AND OILS,
Margarine Spread (60% fat) hard,24,610,0.7,0,0,68.7,0,1123,18,0.2,0.02,0.01,1122,0.01,0,FATS AND OILS,
Marshmallows,2,90,0.6,23,0,0,0.1,55,23,0,0.2,0.01,0,0.01,0,SWEETENERS AND SWEETS,
Melba toast plain,6,20,1,4,0.1,0.3,0.1,44,10,0.4,0.1,0.01,0,0.01,0,BAKED GOODS,
Milk - 2% Low Fat,297,121,8.1,11.7,0,4.8,0.1,122,232,1,0.21,0.1,140,0.1,2,DAIRY,
Milk - Whole,291,150,8,11.4,0,8.1,0.1,120,228,0.9,0.2,0.09,76,0.1,2,DAIRY,
Mixed grain toasted,273,65,2,12,1,0.9,0.8,106,55,0,1.1,0.08,0,0.02,0,BAKED GOODS,
Muffins Blueberry commercial,15,140,2.7,22,1.3,4.9,0.9,225,90,0.2,1.17,0.11,11,0.01,0.5,BAKED GOODS,
Mushrooms raw sliced,2,9,0.7,1.6,0.8,0.1,0.4,1,36,0.3,1.44,0.04,0,0.03,1,VEGETABLES AND LEGUMES,
Nectarines raw without pits,6,67,1.3,16,3.1,0.6,0.2,0,22,0.1,1.35,0.02,100,0.03,7,FRUITS,
Oil - Corn,0,482,0,0,0,54,0,0,1,0.1,0,0,0,0,0,FATS AND OILS,
Oil - Olive,0,477,0,0,0,54,0.2,0,1,0,0,0,0,0,0,FATS AND OILS,
Oil - Peanut,0,477,0,0,0,54,0,0,1,0,0,0,0,0,0,FATS AND OILS,
Onions raw chopped,40,54,1.9,11.7,2.6,0.4,0.6,3,46,0.3,0.16,0.1,0,0.25,13,VEGETABLES AND LEGUMES,
Orange (12 fl oz),19,177,0,45.8,0,0,0.2,46,4,0.4,0,0,0,0,0,BEVERAGES,
Orange juice,27,111,1.7,25.8,0.5,0.5,0.5,2,42,0.1,0.99,0.22,50,0.1,124,FRUITS,
Oysters - raw Pacific,202,160,21,8,0,5,16.8,185,379,74.4,6,0.29,223,0.13,24,FISH AND SHELLFISH,
Oysters Eastern raw,226,160,20,8,0,4,15.6,175,343,96.7,6,0.34,223,0.13,24,FISH AND SHELLFISH,
Peach pie piece,27,405,33.5,60.7,2.8,17.5,1.9,423,55,0.3,2.3,0.17,93,0.07,5,BAKED GOODS,
Peaches juice pack,15,109,1.6,28.7,4.1,0.1,0.7,11,43,0.3,1.44,0.02,94,0.05,9,FRUITS,
Peaches raw whole,4,37,0.6,9.6,2,0.1,0.1,0,10,0.1,0.86,0.01,47,0.02,6,FRUITS,
Peanut Butter,5,95,4.6,2.5,1.2,8.2,0.3,75,60,0.5,2.15,0.02,0,0.06,0,NUTS SEEDS AND PRODUCTS,
